LINE	YEAR	GENRE	SOURCE	CONTEXT
1	1821	FIC	WanderingBoys	Marceline Ay -- your old way of talking! you always will be suspecting! Fie, Hubert! you ought to be ashamed of yourself. Hub. Hubert Look'ye
2	1821	FIC	Thèrése	her tenants -- and it might do us no good to -- Lav. Lavigne Fie, wife! Refuse to take the young girl in, and in such weather
3	1823	FIC	NewGentleShepherd	the bushy thorn, Where many a time to her your heart was sworn: Fie, Bauldy, blush, and vows of love regard! What other girl would
4	1823	FIC	NewGentleShepherd	And set his nose a bleeding. Mause. Mause Let go your gripes; Fie, Madge! shame, Bauldy, shame! I would not wish this combat
5	1823	FIC	NewGentleShepherd	Madge Old hag! filthy fellow, I'll old you! Mause. Mause Fie, no! -- you'll now be friends with honest Bauldy. Come,
6	1823	NF/ACAD	ViewHebrewsExhibiting	it shall not be plucked up, nor thrown down any more forever. " Fie re God engages that as Ephraim is God's first born; so he will
7	1823	NF/ACAD	ViewHebrewsExhibiting	great and powerful, that in comparison with him all others are as nothing. Fie made all things that we see, and all things that we can not see
8	1826	FIC	LastMohicansANarrative1757	heard rustling in the surrounding forest. CHAPTER 30 " If you deny me, fie upon your law! There is no force in the decrees of Venice: I
9	1826	FIC	Richelieu	; but to take advantage of her helpless, defenceless, situation -- Oh, fie! fie! -- A ruffian could not have done worse!' T was
10	1826	FIC	Richelieu	to take advantage of her helpless, defenceless, situation -- Oh, fie! fie! -- A ruffian could not have done worse!' T was unworthy of
11	1826	FIC	Richelieu	. Does she think to fix the roving Richelieu? Lam. Lamotte Oh, fie! Has she no conscience? What a monopolizing spirit! Rich. Duke of
12	1827	FIC	SquireHartley	Mrs. O'Dougherty as long as she lives. A wife with a brogue, oh fie! Exeunt. Scene Scene changes to the Doctor's house. Emily discovered at
13	1827	FIC	SquireHartley	knock its head off when ever she has a mind. Aunt. Aunt Deborah Fie, brother, I shall speak to Sir Edmund -- Sir Edmund, my brother
14	1827	FIC	Novels	my father and you, which is so advantageous to yourself and your sisters. Fie upon you! Even to have entertained such thoughts fixes a stain upon your character
15	1827	FIC	Novels	" " In the same house? And -- perhaps -- married? " " Fie upon you, Mary. Is this the courage you have just avowed, to
16	1827	NF/ACAD	CrisisOrEssays	, whether the Government has, or has not usurped its powers. Mr. M'DuFr fie can not seriously believe, that in the instances which he has cited, of
17	1827	NF/ACAD	CrisisOrEssays	limitations therein expressed, " and H is opinion. was solicited as to (fie real intent of the dbhdr; to what jihrt of the trtfet deed would he
18	1828	FIC	CharlottesDaughter	Matthews, his precise Lady, and the dictatorial Mrs. Cavendish. " " Oh fie! Lady Mary, " replied Lucy, with something of sternness in her voice
19	1829	NF/ACAD	MemoirMrsAnnHJudson	* Instructions of tiie Board to Mr. Judson. MBMOIB OF MBS. JTOMON. 3t fie sailed in Jumary, 1811, for England. Three weeki after sailing, the
20	1829	NF/ACAD	MemoirBarbaraEwing	and mourning, and wo, and miserable anticipations, (I had almost said fie upon it,) but it will be given back with gladness, and with
1	1830	FIC	Sertorius	us twain, as alike an enemy to head and foot. FLAVIUS. FLAVIUS Fie on' t, fie! you are only chafed because my trade is the
2	1830	FIC	Sertorius	an enemy to head and foot. FLAVIUS. FLAVIUS Fie on' t, fie! you are only chafed because my trade is the more prescriptive and honourable of
3	1830	FIC	Sertorius	expires, And pensive sadness fills the throne of joy. SERTORIUS. QUINTIS SERTORIUS Fie, fie, Perpenna -- thou, a camp bred soldier, With tongue untutor
4	1830	FIC	Sertorius	And pensive sadness fills the throne of joy. SERTORIUS. QUINTIS SERTORIUS Fie, fie, Perpenna -- thou, a camp bred soldier, With tongue untutor'd in
