raw_line,year,decade,genre,source,context,exclusion_reason
6,1823,1820,NF/ACAD,ViewHebrewsExhibiting,"it shall not be plucked up, nor thrown down any more forever. "" Fie re God engages that as Ephraim is God's first born; so he will",OCR noise
7,1823,1820,NF/ACAD,ViewHebrewsExhibiting,"great and powerful, that in comparison with him all others are as nothing. Fie made all things that we see, and all things that we can not see",OCR noise
16,1827,1820,NF/ACAD,CrisisOrEssays,", whether the Government has, or has not usurped its powers. Mr. M'DuFr fie can not seriously believe, that in the instances which he has cited, of",OCR noise
17,1827,1820,NF/ACAD,CrisisOrEssays,"limitations therein expressed, "" and H is opinion. was solicited as to (fie real intent of the dbhdr; to what jihrt of the trtfet deed would he",OCR noise
19,1829,1820,NF/ACAD,MemoirMrsAnnHJudson,"* Instructions of tiie Board to Mr. Judson. MBMOIB OF MBS. JTOMON. 3t fie sailed in Jumary, 1811, for England. Three weeki after sailing, the",OCR noise
44,1833,1830,NF/ACAD,ReportTrialJames,Judge never did assume that the regulations of O'Reilly had any bearing on the spec fie grant to Antoine Soulard; and so far from saying that such a grant was,OCR noise
62,1835,1830,NF/ACAD,NarrativeVisit,"Carmthers's than my esteemed friend, the Rev. J. Douglas, called on me. fie was pastor of the Presbyterian Church here, and had formed a fiittdship when he",OCR noise
136,1850,1850,NF/ACAD,PropositionsConcerning,"products of the whole terrir tory could be exchanged abroad in the great purchases that fie trade treats of in large discourse, it would only make a few wealthy marts",OCR noise
205,1864,1860,NEWS,NYT-Reg,"by such raids as Mon.o.te's,) and other Slates, had none. fie offered an amendment, that whenever expenditures for calling out the militia, either to",OCR noise
253,1878,1870,NEWS,NYT-Ed,"the inclined plane, followeg by Judge Sluyter and Dr. Wlicose, were terr, fie. The shrieks were to a great extent hushed when those two ponderous citizens Struck",OCR noise
264,1881,1880,FIC,NightsWithUncle,"tant gagner bon coeur! Papa Mlle. Calinda dire lui: 6. "" Mo fie, li tan to maie; fo to soizi cila to oule. "" Landimin",non-English
282,1883,1880,NEWS,NYT-Reg,"sitting on i the edge of his bed in a bewildered and dazed condition. fie was searched, and the key of his room at the Poughkeepsie Hotel was found",OCR noise
290,1886,1880,FIC,Saratoga,? -- (to MISS EFFIE) -- a -- h -- Miss Ef -- fie -- Each time they meet they draw up and glare at each other. WETH,name fragment
307,1890,1890,NEWS,NYT-Reg,"to go to the express car and tell the messenger to open the door. Fie did so, under the threat of death if he should Salk When he reached",OCR noise
308,1890,1890,NEWS,NYT-Reg,"laws of war nor Wee of peace; BegottleA, That a committee consisting opt fie mem.;. bets of this House, who aro: ambers-elect of the'",OCR noise
348,1890,1890,NEWS,NYT-Reg,"to go to the express car and tell the messenger to open the door. Fie did so, under the threat of death if he should Salk When he reached",OCR noise
349,1890,1890,NEWS,NYT-Reg,"laws of war nor Wee of peace; BegottleA, That a committee consisting opt fie mem.;. bets of this House, who aro: ambers-elect of the'",OCR noise
389,1900,1900,NEWS,NYT-Reg,in their interests I know that he is not true to what he says. fie simply wants your vote. That is all. Why. h.: even intimates,OCR noise
390,1901,1900,FIC,KingMidasRomance,"Helen's outburst, so lost was all his soul in the other sight. Fie saw that the stranger's convulsive efforts were weakening, and he staggered forward with",OCR noise
408,1902,1900,MAG,Harpers,21349 FIE boy who stated that a vessel going from the Potomac by way of the Suez,OCR noise
412,1903,1900,NEWS,NYT-Reg,"as Jacob von Sternbergen, twenty-six years o/d. a donkey engine man on the steamship. fie was held for the United Stales authorities on complaint of Customs Inspector T. J. Hooley",OCR noise
413,1904,1900,NF/ACAD,WondersNatureAchievements,"hollow hemispheres. In the centre of the lower one is a disc, which Fie. 170. does not quite reach the edges. Between the two hemispheres is a",OCR noise
415,1905,1900,MAG,Atlantic,"both as a literary production and as a deposit of political wisdom and experience. fie is as hard on the "" uncritical awe "" of its early worshipers as on",OCR noise
419,1907,1900,NEWS,NYT-Reg,sense meant the retirement of Mr. Hill from the direction of Great Northern affairs. fie added that Mr. Hill's duties as Chairman would be practically identical with the duties,OCR noise
433,1909,1900,NF/ACAD,ProgressInLanguage,"used only in the very oldest texts as accusatives distinct from the datives me, fie, us, eow, unc, inc, and which are soon ousted by",metalinguistic mention
441,1911,1910,NEWS,NYT-Reg,"between the United States and Great Britain, and as such was =U.;' fie thegenate, 1?",OCR noise
460,1917,1910,NEWS,NYT-Reg,"and talked over the prospect with his wife and daughter, Miss Choate said. fie spoke feelingly of his interest in the university. When Dr. Draper announced that Mr.",OCR noise
465,1919,1910,NF/ACAD,PsychologyGeneral,This is shown by the fact that the development of the idea of the I Fie. 55. Ancient and modern Chinese writing The upper line shows ancient forms of,OCR noise
475,1921,1920,NEWS,NYT-Reg,"with his promise to do nothing' which would displease the French, Government. Fie made no official communication of the German note, but saw that Ambassador - Jusserand",OCR noise
481,1922,1920,FIC,SkyLineSpruce,. And now he could scarcely restrain his triumphant chuckles in Ben's hearing. Fie made his pack -- a few simple provisions wrapped in his blanket -- and a,OCR noise
490,1922,1920,MAG,Atlantic,"of plants, animals, and man, and with the inheritance o f spcci fie individuals. And it reveals much of the actual physical mechanism of heredity. Mendel",OCR noise
494,1923,1920,MAG,NewRepublic,corroborated by the indignation of at least a few private citizens before action is T FIE NE W // taken. No sooner had this good news been cele? brated,OCR noise
495,1923,1920,MAG,NewRepublic,"15212409 T FIE NE W // taken. No sooner had this good news been celebrated, however",OCR noise
496,1923,1920,MAG,NewRepublic,"15214308 rU fie Ne0 REPUBLIC A Journal e Opinion, VOL. XLI NEW YORK, WEDNESDAY,",OCR noise
497,1923,1920,NEWS,NYT-Reg,in any way connected with NIcaIanus's alleged bribe offer to Beidleman's secretary. fie said that he was willing to withdraw the motion made by his law partner if,OCR noise
498,1924,1920,MAG,NewRepublic,"gathering, though necessarl, u more disinterested, intent upon the business of a fie, markably well-run organization. The resolutions concerning women's interests were taken up vint11",OCR noise
501,1925,1920,NEWS,NYT-Reg,"the Administration in sending delegates to the League's Conference on Arne: Tra f fie. "" he said:?? We urge the extension of this cooperation for",OCR noise
504,1927,1920,NEWS,NYT-Reg,Gibson assured his fellow-delegates that this entirely depended upon the amount of total tonnage. Fie denied the contention emanating recently from the British side that Americans at Washington had forced,OCR noise
505,1927,1920,NEWS,Chicago,ago a young man giving the name of James Britt registered at the hotel. fie was given the apartment in which the dead man was found. A few days,OCR noise
507,1928,1920,NEWS,Chicago,"government has not been obtained. In these circumstances,. it is remarkable that fie mayor's committee of citizens, appointed to advise and assist him in just such",OCR noise
509,1928,1920,NF/ACAD,IndustrialOrganization,: /00 MATERIAL: Cast Iron USAGE: 0.428#lpc. USED ON MODELS A // Fie. 2o. -A Master Plan of Work. figure by the number of hours that,OCR noise
511,1929,1920,NEWS,NYT-Let,"remote or how few its open hours is in assumption born of isolation, and fie seclusive spirit, and of a touch of the curious superstition that museum's objects",OCR noise
513,1929,1920,NEWS,Chicago,taken to the County hospital. He was transferred to the Psychopathic hospital Monday. fie had nothing in his clothing to identify Min. All the clothing he,OCR noise
514,1930,1930,FIC,DeepeningStream,", he thought, feeling the slow heat burn its way to his temples. FIe looked back at the Montaigne, resolutely turned over a page, and suddenly thought",OCR noise
516,1931,1930,FIC,FinchsFortune,"were. Just finding himself alive was often a rather frightening surprise to him. FIe wondered when he would outgrow it and rather hoped he would not, for there",OCR noise
517,1931,1930,FIC,XXXYYY,", or was it some suspicion on the patron's part, or what? fie had always hoped he would be taken to Olintlan on one of the hacendado's",OCR noise
518,1931,1930,NEWS,CSMonitor,"signified its intention of acting bong such a line, Mr. Castle 139inteti Out. Fie expressed every confidence, that? -- a satisfactory arrangement would be evolved which would",OCR noise
519,1932,1930,FIC,MagnoliaStreet,"his razor suspended over the taut tendons of his neck. Socialism was unscientific. Fie was a sociologist. His pronunciation of the word was a little unsteady, and",OCR noise
520,1932,1930,MAG,SatEvePost,"India were more familiar than the new words they were learning for t he Paci fie Coast. Al ready S I 00,000.000 of gold had come around I he Horn",OCR noise
521,1932,1930,MAG,SatEvePost,"he sized up my clothing and said that I'd better exchange my woolen, fie 42) Mary for fur. tooEskimeasurements, and her deft needlework 42 THE SilTURDAY",OCR noise
522,1932,1930,MAG,SatEvePost,"1929 by being sensible. Today he thinks the worst is yet to come. fie means, for all his friends to lose all their money. In protecting themselves",OCR noise
523,1932,1930,MAG,SatEvePost,"about the man he was representing, and he stated that he did not. fie added that Mr. Dash had just come into his office a. few minutes before and",OCR noise
525,1933,1930,NEWS,NYT-Reg,"that the McCooey organization was largely responsible for the evils in the city government. fie predicted that on Nov. 7 the voters "" are going to rise in their might",OCR noise
526,1934,1930,FIC,LongRemember,"nodded Adam Duffey. "" Said to be a Copperhead. "" "" Yes. fie is one. That's what people are whispering of me, no doubt.",OCR noise
531,1935,1930,NF/ACAD,PrinciplesPhysical,the frictional resistance to gliding of plates does not increase as gliding proceeds but does Fie. 53. - Stress- strain diagram of magnesium single crystal at 250? C. The,OCR noise
532,1935,1930,NF/ACAD,PrinciplesPhysical,stage during the deforma-z z z c e tion of a single crystal may be Fie. 54. -- Bending of slip planes in a characterized (1) by the,OCR noise
533,1935,1930,NF/ACAD,PrinciplesPhysical,"grained tungsten bar, showing obstructed deformation at grain boundaries. (Smithells.) Fie. 60. - Strengthening a magnesium single crystal by drilling holes in it. unit",OCR noise
534,1935,1930,NF/ACAD,PrinciplesPhysical,the competing slip planes are all oriented Interference Lines of the Ka Roidiation of Copper Fie. 77. -I) ebye patterns of a tungsten wire deformed and then annealed at,OCR noise
535,1935,1930,NF/ACAD,PrinciplesPhysical,accounts for the inability to harden lead permanently by cold working at room temperature. Fie. 82. -Recrystallization diagram of a 0.18 per cent carbon steel. No change is,OCR noise
536,1935,1930,NF/ACAD,PrinciplesPhysical,with Gibbs' phase rule. Cu 20 40 60 80 Au Atomic PerCenfGold -- Fie. 135. The system copper-gold showing compounds below 460? C. which exhibit superlattices,OCR noise
540,1936,1930,MAG,Harpers,", last fall, with the owner-manager of a handsome inn in New England. Fie had invested in the property in 1930 and had weathered three very lean years;",OCR noise
546,1938,1930,FIC,NoStarIsLost,'d go on living with a heart of ice. He didn't care. Fie had hurt her. She wouldn't care in time. She would becomecold and,OCR noise
547,1938,1930,MAG,SatEvePost,"democracy working in, perhaps, its best informal manner. But the Old Reporter fie longer knew what people meant by the word "" democracy, "" or the word",OCR noise
548,1939,1930,FIC,StoryLake,"Flick would mean. He was not tired with Flick. Far from it. FIe would like to keep on seeing her. Why not? "" That's just",OCR noise
549,1940,1940,MAG,GoodHouse,"tumbling out of cruc. cots, delivers them to hard-boiled male top-sergeants, who drill fie legs off them to start the day. The; wear feminine variations of standa",OCR noise
550,1940,1940,MAG,SatEvePost,"'re going to repeat things you hear, repeat them accurately. "" (To FIE CONTINUED) Al ter Woolworth returned, improved, Augsbury went to eat. As",OCR noise
551,1941,1940,MAG,Harpers,"Line West, The Return of the Weed, A Lamp on the Plains, FIE from Giulia, Figures in a Landscape, and Habit of Empire. SOMETHING'",OCR noise
556,1942,1940,NEWS,NYT-Let,19420903_3 txt EIGHTH ARE FIE General Asserts Enemy Has Not Penetrated Organized Area U. S. FLIERS ATTACK SHIPS American Fighter,OCR noise
559,1943,1940,FIC,LadyInLake,". "" I thought that over and decided it didn't mean anything much. FIe might have been late or have missed some earlier appointment. I said: """,OCR noise
560,1943,1940,FIC,HumanComedy,"had assembl. in the living room, several of the lanky frontiersmen sprawling on the fie,. in front of the fire, one of the delegation said: """,OCR noise
563,1946,1940,FIC,MiracleBells,"the dough. "" He felt that he was looking at a great man. fie felt a great, tugging urge to help Father Paul. But how? Bill",OCR noise
564,1946,1940,NEWS,NYT-Let,"are examples of "" virtually endless charges. "" The plight of. the waterfowl fie well Penalties Advocated To THE EDITOR OF THE NEW YORK TIMES: Dr. Harry D.",OCR noise
567,1947,1940,FIC,GentlemansAgreement,"deep breath and Michael could hear the air whistling into the boy's nostrils. fie looked taut and very handsome in a roughcut, archaic, tragic way in the",OCR noise
570,1947,1940,NEWS,Chicago,"went on trial before a jury in the federal court of Judge W. Calvin Chesnut. fie is accused of reporting only $81,210 of an income of $171,826 he had in the",OCR noise
572,1947,1940,NEWS,NYT-Reg,"1945. The actress, Faye Emer. son, now Mr. Roosevelt's wife, fie, ured largely in these parts. Gifts to Girl Guests Many other guests,",name fragment
574,1948,1940,MAG,Atlantic,"Affairs and that evening, while walking along the boulevard, had another stroke. fie was carried to his lodging and died next day. 4 Inc first thing that",OCR noise
584,1952,1950,FIC,WorksLove,pushed aside the netting and the bandagedhead and shoulders of Mr Willys were revealed. FIe was not an ugly man nor was he old; he was just very fat,OCR noise
586,1952,1950,FIC,EastEden,"year. Your brother got one? "" "" His came from a cut. fie wrote me about it. "" "" You notice this one of mine looks like",OCR noise
588,1952,1950,NEWS,Chicago,", designated to the air force post, has a financial and aviation background. fie is a former chairman of the hoard of the North American Aviation company and a",OCR noise
589,1953,1950,FIC,Outsider,"long schooled in dealing with Negroes as frightened inferiors, would accept without question. FIe went to the City Hall and presented himself at the windowmarked: DUPLICATE BIRTH CERTIFICATES",OCR noise
590,1953,1950,FIC,Outsider,", for, if he won it, what had he won? Eva? Fie hadn't killed to get her. Hilton was still staring at him; then",OCR noise
596,1954,1950,FIC,ThirdGeneration,"He was ineffably drawn to her; he felt an affinity deeper than kin. FIe went toward her timidly, filled with the great flaming desire to serve her with",OCR noise
598,1955,1950,MAG,Harpers,"Samurai, "" and I asked him if humor was not unusual in historicals. Fie denied this and said that he had created the role especially for Mifune, a",OCR noise
608,1959,1950,FIC,Mansion,"was riding toward the Santee River and they were to catch up with him. Fie set out with a few horsemen and rode toward Nelson's Ferry. "" Marion",OCR noise
609,1959,1950,FIC,Hawaii,bed and it struck him as highly peculiar that it should be dead white. fie had never seen any white sitting-down furniture before and thought how imp,OCR noise
610,1960,1960,MAG,Atlantic,"that I called him over, but I did not want to snub him. Fie claps one hand to the side of my head, as is his habit.",OCR noise
611,1960,1960,NEWS,NYT-Reg,"curtailed. The Wisconsin Republican said that the manual should never have been withdrawn. Fie said that "" the charges haven't been disproved one iota. """,OCR noise
614,1962,1960,FIC,LettingGo,"to accept credit for it and try to explain his ignorance of its results. FIe could not, of course, know that Tall would later change his opinion.",OCR noise
615,1962,1960,FIC,ShadeDifference,"he al, proached the great bronze doors of the Assembly Hall in Geneva that fie fateful afternoon. Now, my boy, he had admonished himself with a deep",OCR noise
618,1963,1960,MAG,Atlantic,"their revolutionary right in the securement of that freedom. I had become fanatical over fie question of asserting my dignity as a man, threw aside the mellowing influences of",OCR noise
620,1963,1960,MAG,Atlantic,"arrest and imprisonment. After his escape in 1876? the year Bakunin died? fie went to Switzerland, where he worked with Elisee Reclus, the French geographer and",OCR noise
