cc,n,tabulated,interj_all,interj_nolaugh,laughter,hectare,name,unclear,corr_all,corr_nolaugh
SG,1000,50.96,0.571,0.313,0.258,0.061,0.143,0.197,29.0982,15.9505
PH,1000,28.6,0.678,0.208,0.47,0.179,0.063,0.069,19.3908,5.9488
HK,1000,27.14,0.52,0.176,0.344,0.136,0.132,0.183,14.1128,4.7766
MY,1000,25.33,0.602,0.152,0.45,0.15,0.086,0.131,15.2487,3.8502
KE,1000,24.89,0.447,0.088,0.359,0.48,0.021,0.04,11.1258,2.1903
LK,1000,21.98,0.689,0.147,0.542,0.175,0.017,0.094,15.1442,3.2311
AU,1000,20.86,0.737,0.195,0.542,0.136,0.053,0.053,15.3738,4.0677
US,1000,20.72,0.822,0.307,0.515,0.07,0.011,0.087,17.0318,6.361
NG,500,19.93,0.586,0.204,0.382,0.266,0.006,0.118,11.679,4.0657
ZA,500,19.09,0.672,0.1,0.572,0.228,0.018,0.062,12.8285,1.909
GB,1000,17.27,0.84,0.21,0.63,0.064,0.014,0.065,14.5068,3.6267
TZ,500,16.81,0.422,0.116,0.306,0.484,0.008,0.072,7.0938,1.95
JM,499,16.73,0.8257,0.1142,0.7114,0.0581,0.0261,0.0802,13.8131,1.911
IE,1000,16.71,0.808,0.194,0.614,0.102,0.015,0.066,13.5017,3.2417
IN,1000,16.38,0.663,0.172,0.491,0.2,0.02,0.099,10.8599,2.8174
BD,498,16.18,0.3454,0.0723,0.2731,0.4538,0.0622,0.1104,5.5883,1.1696
NZ,1000,16.1,0.773,0.225,0.548,0.152,0.016,0.045,12.4453,3.6225
CA,1000,14.52,0.771,0.305,0.466,0.166,0.014,0.038,11.1949,4.4286
PK,500,12.89,0.544,0.198,0.346,0.168,0.062,0.206,7.0122,2.5522
GH,200,10.83,0.6,0.15,0.45,0.265,0.005,0.1,6.498,1.6245
