lemma,decade,freq,words_m,per_mil
oh,1820,2652,7.0,378.86
oh,1830,4160,13.7,303.65
oh,1840,5112,15.8,323.54
oh,1850,5539,16.5,335.7
oh,1860,6571,16.9,388.82
oh,1870,8969,18.8,477.07
oh,1880,10363,20.1,515.57
oh,1890,9103,20.4,446.23
oh,1900,11734,22.0,533.36
oh,1910,13016,23.1,563.46
oh,1920,11844,25.7,460.86
oh,1930,28154,27.7,1016.39
oh,1940,21141,27.4,771.57
oh,1950,28500,28.7,993.03
oh,1960,32785,29.1,1126.63
oh,1970,27533,28.8,956.01
oh,1980,24435,29.9,817.22
oh,1990,25524,33.1,771.12
oh,2000,25047,34.8,719.74
oh,2010,27981,35.5,788.2
no,1820,2802,7.0,400.29
no,1830,3950,13.7,288.32
no,1840,5326,15.8,337.09
no,1850,5882,16.5,356.48
no,1860,6062,16.9,358.7
no,1870,7465,18.8,397.07
no,1880,8532,20.1,424.48
no,1890,7553,20.4,370.25
no,1900,8813,22.0,400.59
no,1910,9515,23.1,411.9
no,1920,9547,25.7,371.48
no,1930,21221,27.7,766.1
no,1940,19175,27.4,699.82
no,1950,23283,28.7,811.25
no,1960,28854,29.1,991.55
no,1970,26592,28.8,923.33
no,1980,26871,29.9,898.7
no,1990,29786,33.1,899.88
no,2000,31359,34.8,901.12
no,2010,33379,35.5,940.25
yes,1820,1908,7.0,272.57
yes,1830,3049,13.7,222.55
yes,1840,4359,15.8,275.89
yes,1850,5662,16.5,343.15
yes,1860,6751,16.9,399.47
yes,1870,9206,18.8,489.68
yes,1880,10774,20.1,536.02
yes,1890,8856,20.4,434.12
yes,1900,11057,22.0,502.59
yes,1910,12330,23.1,533.77
yes,1920,11309,25.7,440.04
yes,1930,23887,27.7,862.35
yes,1940,21133,27.4,771.28
yes,1950,23255,28.7,810.28
yes,1960,27859,29.1,957.35
yes,1970,20798,28.8,722.15
yes,1980,17897,29.9,598.56
yes,1990,18092,33.1,546.59
yes,2000,16688,34.8,479.54
yes,2010,16879,35.5,475.46
yeah,1820,0,7.0,0.0
yeah,1830,0,13.7,0.0
yeah,1840,1,15.8,0.06
yeah,1850,0,16.5,0.0
yeah,1860,0,16.9,0.0
yeah,1870,2,18.8,0.11
yeah,1880,11,20.1,0.55
yeah,1890,11,20.4,0.54
yeah,1900,13,22.0,0.59
yeah,1910,102,23.1,4.42
yeah,1920,210,25.7,8.17
yeah,1930,5726,27.7,206.71
yeah,1940,5329,27.4,194.49
yeah,1950,8404,28.7,292.82
yeah,1960,9105,29.1,312.89
