form,decade,freq,words_m,per_mil
nay,1820,1222,7.0,175.04
nay,1830,1216,13.7,88.69
nay,1840,1494,15.8,94.51
nay,1850,1022,16.5,61.80
nay,1860,680,16.9,40.15
nay,1870,658,18.8,35.02
nay,1880,985,20.1,49.09
nay,1890,607,20.4,29.72
nay,1900,532,22.0,24.21
nay,1910,213,23.1,9.22
nay,1920,252,25.7,9.81
nay,1930,109,27.7,3.93
nay,1940,122,27.4,4.45
nay,1950,143,28.7,4.99
nay,1960,104,29.1,3.57
nay,1970,116,28.8,4.02
nay,1980,141,29.9,4.72
nay,1990,218,33.1,6.58
nay,2000,93,34.8,2.67
nay,2010,78,35.5,2.20
nay,ALL,10005,405,24.70
yeah,1820,0,7.0,0.00
yeah,1830,0,13.7,0.00
yeah,1840,1,15.8,0.06
yeah,1850,0,16.5,0.00
yeah,1860,0,16.9,0.00
yeah,1870,2,18.8,0.11
yeah,1880,11,20.1,0.55
yeah,1890,11,20.4,0.54
yeah,1900,13,22.0,0.59
yeah,1910,104,23.1,4.50
yeah,1920,211,25.7,8.21
yeah,1930,5731,27.7,206.84
yeah,1940,5331,27.4,194.56
yeah,1950,8404,28.7,293.22
yeah,1960,9105,29.1,312.64
yeah,1970,15305,28.8,530.88
yeah,1980,17866,29.9,598.49
yeah,1990,19065,33.1,575.12
yeah,2000,22908,34.8,657.86
yeah,2010,25616,35.5,722.54
yeah,ALL,129684,405,320.21
