rank,form,freq,words_m,per_mil
1,no,2803,7.0,400.43
2,oh,2658,7.0,379.71
3,yes,1910,7.0,272.86
4,nay,1222,7.0,174.57
5,o,1131,7.0,161.57
6,ah,1007,7.0,143.86
7,ha,706,7.0,100.86
8,dear,573,7.0,81.86
9,alas,556,7.0,79.43
10,farewell,355,7.0,50.71
11,yea,328,7.0,46.86
12,aye,291,7.0,41.57
13,ay,224,7.0,32.0
14,lo,170,7.0,24.29
15,hush,113,7.0,16.14
16,adieu,92,7.0,13.14
17,ho,89,7.0,12.71
18,um,89,7.0,12.71
19,hey,79,7.0,11.29
20,amen,52,7.0,7.43
21,hi,34,7.0,4.86
22,oi,34,7.0,4.86
23,och,33,7.0,4.71
24,pugh,32,7.0,4.57
25,oo,27,7.0,3.86
26,whoop,27,7.0,3.86
27,ta,25,7.0,3.57
28,haw,20,7.0,2.86
29,ar,20,7.0,2.86
30,ahem,19,7.0,2.71
31,eh,19,7.0,2.71
32,war-whoop,18,7.0,2.57
33,yo,17,7.0,2.43
34,zounds,16,7.0,2.29
35,arrah,15,7.0,2.14
36,cor,14,7.0,2.0
37,cheers,14,7.0,2.0
38,tut,14,7.0,2.0
39,yah,13,7.0,1.86
40,na,13,7.0,1.86
41,hoo,10,7.0,1.43
42,fie,10,7.0,1.43
43,tt,10,7.0,1.43
44,sh,9,7.0,1.29
45,bravo,9,7.0,1.29
46,bye,8,7.0,1.14
47,damn,7,7.0,1.0
48,darn,7,7.0,1.0
49,ee,7,7.0,1.0
50,egad,7,7.0,1.0
51,ey,7,7.0,1.0
