query,country,words_m,per_mil
um_uh,US,386.8,12.1
um_uh,CA,134.8,6.72
um_uh,GB,387.6,5.24
um_uh,IE,101.0,3.58
um_uh,AU,148.2,8.47
um_uh,NZ,81.4,7.56
um_uh,IN,96.4,2.7
um_uh,LK,46.6,1.14
um_uh,PK,51.4,2.98
um_uh,BD,39.5,2.23
um_uh,SG,43.0,6.7
um_uh,MY,41.6,9.05
um_uh,PH,43.2,4.32
um_uh,HK,40.5,3.04
um_uh,ZA,45.4,5.07
um_uh,NG,42.6,2.09
um_uh,GH,38.8,2.09
um_uh,KE,41.1,2.97
um_uh,TZ,35.2,1.93
um_uh,JM,39.6,4.47
umm_uh,US,386.8,2.84
umm_uh,CA,134.8,1.87
umm_uh,GB,387.6,2.31
umm_uh,IE,101.0,0.54
umm_uh,AU,148.2,2.94
umm_uh,NZ,81.4,1.7
umm_uh,IN,96.4,2.18
umm_uh,LK,46.6,1.87
umm_uh,PK,51.4,23.19
umm_uh,BD,39.5,2.41
umm_uh,SG,43.0,2.14
umm_uh,MY,41.6,8.62
umm_uh,PH,43.2,2.15
umm_uh,HK,40.5,0.57
umm_uh,ZA,45.4,1.3
umm_uh,NG,42.6,1.29
umm_uh,GH,38.8,0.49
umm_uh,KE,41.1,0.85
umm_uh,TZ,35.2,1.71
umm_uh,JM,39.6,1.11
ummm_uh,US,386.8,1.69
ummm_uh,CA,134.8,1.21
ummm_uh,GB,387.6,0.65
ummm_uh,IE,101.0,0.3
ummm_uh,AU,148.2,2.07
ummm_uh,NZ,81.4,1.22
ummm_uh,IN,96.4,0.45
ummm_uh,LK,46.6,0.19
ummm_uh,PK,51.4,0.64
ummm_uh,BD,39.5,0.08
ummm_uh,SG,43.0,0.63
ummm_uh,MY,41.6,0.46
ummm_uh,PH,43.2,0.67
ummm_uh,HK,40.5,0.22
ummm_uh,ZA,45.4,0.57
ummm_uh,NG,42.6,0.52
ummm_uh,GH,38.8,0.34
ummm_uh,KE,41.1,0.56
ummm_uh,TZ,35.2,0.09
ummm_uh,JM,39.6,0.78
ummmm_uh,US,386.8,0.46
ummmm_uh,CA,134.8,0.33
ummmm_uh,GB,387.6,0.15
ummmm_uh,IE,101.0,0.16
ummmm_uh,AU,148.2,0.4
ummmm_uh,NZ,81.4,0.44
ummmm_uh,IN,96.4,0.03
ummmm_uh,LK,46.6,0.0
ummmm_uh,PK,51.4,0.18
ummmm_uh,BD,39.5,0.08
ummmm_uh,SG,43.0,0.26
ummmm_uh,MY,41.6,0.17
ummmm_uh,PH,43.2,0.14
ummmm_uh,HK,40.5,0.12
ummmm_uh,ZA,45.4,0.04
ummmm_uh,NG,42.6,0.02
ummmm_uh,GH,38.8,0.03
ummmm_uh,KE,41.1,0.05
ummmm_uh,TZ,35.2,0.06
ummmm_uh,JM,39.6,0.13
