query,country,words_m,per_mil
yeah_uh,US,386.8,103.78
yeah_uh,CA,134.8,53.35
yeah_uh,GB,387.6,58.79
yeah_uh,IE,101.0,45.55
yeah_uh,AU,148.2,69.49
yeah_uh,NZ,81.4,52.7
yeah_uh,IN,96.4,31.02
yeah_uh,LK,46.6,18.35
yeah_uh,PK,51.4,21.78
yeah_uh,BD,39.5,23.55
yeah_uh,SG,43.0,82.56
yeah_uh,MY,41.6,61.09
yeah_uh,PH,43.2,73.71
yeah_uh,HK,40.5,25.96
yeah_uh,ZA,45.4,31.21
yeah_uh,NG,42.6,33.27
yeah_uh,GH,38.8,21.1
yeah_uh,KE,41.1,25.01
yeah_uh,TZ,35.2,16.87
yeah_uh,JM,39.6,42.36
ya_uh,US,386.8,4.51
ya_uh,CA,134.8,4.8
ya_uh,GB,387.6,2.05
ya_uh,IE,101.0,3.07
ya_uh,AU,148.2,2.06
ya_uh,NZ,81.4,2.13
ya_uh,IN,96.4,4.97
ya_uh,LK,46.6,10.67
ya_uh,PK,51.4,11.19
ya_uh,BD,39.5,3.01
ya_uh,SG,43.0,9.4
ya_uh,MY,41.6,13.88
ya_uh,PH,43.2,4.42
ya_uh,HK,40.5,2.74
ya_uh,ZA,45.4,5.07
ya_uh,NG,42.6,2.93
ya_uh,GH,38.8,10.76
ya_uh,KE,41.1,6.45
ya_uh,TZ,35.2,19.54
ya_uh,JM,39.6,4.09
yeh_untagged,US,386.8,0.81
yeh_untagged,CA,134.8,0.47
yeh_untagged,GB,387.6,1.63
yeh_untagged,IE,101.0,0.95
yeh_untagged,AU,148.2,2.2
yeh_untagged,NZ,81.4,0.77
yeh_untagged,IN,96.4,4.86
yeh_untagged,LK,46.6,0.41
yeh_untagged,PK,51.4,4.93
yeh_untagged,BD,39.5,0.79
yeh_untagged,SG,43.0,5.61
yeh_untagged,MY,41.6,1.56
yeh_untagged,PH,43.2,2.2
yeh_untagged,HK,40.5,1.93
yeh_untagged,ZA,45.4,0.57
yeh_untagged,NG,42.6,0.49
yeh_untagged,GH,38.8,0.13
yeh_untagged,KE,41.1,0.29
yeh_untagged,TZ,35.2,0.31
yeh_untagged,JM,39.6,2.0
