coding_id,token_id,year,decade,exclude,exclusion_reason,verbal_syntax,semantic_residue,interactional_residue,targeted_entity
mgc0004,mg1217,2009,2000,0,,1,1,1,0
mgc0018,mg1017,1998,1990,0,,1,1,1,1
mgc0035,mg0021,1932,1930,0,,1,1,1,0
mgc0112,mg0165,1977,1970,0,,1,1,1,0
mgc0116,mg1365,2004,2000,0,,1,1,0,1
mgc0126,mg1025,1999,1990,0,,1,1,1,1
mgc0129,mg0782,2010,2010,0,,1,1,1,0
mgc0143,mg0952,1972,1970,0,,1,1,1,1
mgc0151,mg0959,1974,1970,0,,1,1,1,0
mgc0168,mg0061,1944,1940,0,,1,1,1,0
mgc0178,mg0185,1984,1980,0,,1,1,1,1
mgc0185,mg0100,1957,1950,0,,1,1,1,0
mgc0220,mg0370,1955,1950,0,,1,1,1,0
mgc0316,mg1203,2006,2000,0,,1,1,1,1
mgc0340,mg1161,1987,1980,0,,1,1,1,0
mgc0370,mg0774,1997,1990,0,,1,1,1,0
mgc0386,mg1233,2017,2010,0,,1,1,1,1
mgc0394,mg0133,1969,1960,0,,1,1,1,1
mgc0433,mg0044,1939,1930,0,,1,1,1,0
mgc0440,mg1380,2012,2010,0,,1,1,0,1
mgc0468,mg1299,1939,1930,0,,1,1,0,0
mgc0476,mg1311,1968,1960,0,,1,1,1,1
mgc0485,mg0018,1929,1920,0,,1,1,1,1
mgc0517,mg1310,1965,1960,0,,1,1,0,0
mgc0527,mg0910,1940,1940,0,,1,1,1,0
mgc0542,mg1012,1997,1990,0,,1,1,1,1
mgc0554,mg0261,2006,2000,0,,1,1,1,0
mgc0560,mg0228,1999,1990,0,,1,1,1,1
mgc0575,mg0860,1900,1900,0,,1,1,1,1
mgc0607,mg1276,1981,1980,0,,1,1,1,0
mgc0608,mg0205,1991,1990,0,,1,1,1,1
mgc0609,mg1415,1990,1990,0,,1,1,1,0
mgc0645,mg0192,1987,1980,0,,1,1,1,0
mgc0647,mg0882,1921,1920,0,,1,1,1,0
mgc0651,mg1398,2019,2010,0,,1,1,1,0
mgc0677,mg0217,1994,1990,0,,1,1,1,0
mgc0687,mg0220,1995,1990,0,,1,1,1,1
mgc0698,mg1408,1972,1970,0,,1,1,0,1
mgc0706,mg1290,2014,2010,0,,1,1,1,1
mgc0735,mg0809,2006,2000,0,,1,1,1,1
mgc0758,mg1186,1999,1990,0,,1,1,1,1
mgc0771,mg0979,1981,1980,0,,1,1,1,1
mgc0776,mg1182,1999,1990,0,,1,1,1,1
mgc0785,mg0081,1951,1950,0,,1,1,1,0
mgc0793,mg1358,2003,2000,0,,1,1,0,0
mgc0794,mg0947,1968,1960,0,,1,1,1,1
mgc0800,mg0776,2000,2000,0,,1,1,1,1
mgc0813,mg1097,1917,1910,0,,1,1,1,0
mgc0834,mg1206,2007,2000,0,,1,1,1,0
mgc0853,mg1181,1998,1990,0,,1,1,1,1
mgc0861,mg0270,2012,2010,0,,1,1,1,0
mgc0864,mg0273,2013,2010,0,,1,1,1,0
mgc0865,mg1286,2005,2000,0,,1,1,1,0
mgc0877,mg0159,1976,1970,0,,1,1,1,1
mgc0890,mg0226,1997,1990,0,,1,1,1,1
mgc0896,mg0413,1976,1970,0,,1,1,1,0
mgc0913,mg1126,1952,1950,0,,1,1,1,1
mgc0915,mg1135,1961,1960,0,,1,1,1,0
mgc0939,mg1292,2017,2010,0,,1,1,1,1
mgc0941,mg0075,1947,1940,0,,1,1,1,1
mgc0959,mg1218,2009,2000,0,,1,1,1,0
mgc0972,mg0149,1972,1970,0,,1,1,1,1
mgc0996,mg1406,1966,1960,0,,1,1,0,1
mgc1005,mg1416,1994,1990,0,,1,1,0,0
mgc1007,mg0195,1988,1980,0,,1,1,1,1
mgc1062,mg0120,1966,1960,0,,1,1,1,0
mgc1072,mg1405,1962,1960,0,,1,1,0,0
mgc1097,mg0259,2006,2000,0,,1,1,1,1
mgc1108,mg0231,1999,1990,0,,1,1,1,0
mgc1121,mg0049,1940,1940,0,,1,1,1,0
mgc1130,mg0245,2002,2000,0,,1,1,1,1
mgc1143,mg0048,1940,1940,0,,1,1,1,0
mgc1171,mg0208,1991,1990,0,,1,1,1,0
mgc1177,mg1168,1993,1990,0,,1,1,1,1
mgc1178,mg0440,1989,1980,0,,1,1,1,0
mgc1202,mg1397,2019,2010,0,,1,1,1,0
mgc1207,mg1064,2012,2010,0,,1,1,1,1
mgc1213,mg1259,1936,1930,0,,1,1,1,1
mgc1226,mg0799,1999,1990,0,,1,1,1,0
mgc1251,mg0889,1922,1920,0,,1,1,1,1
mgc1258,mg1346,2000,2000,0,,1,1,0,1
mgc1273,mg0798,1996,1990,0,,1,1,1,1
mgc1275,mg1320,1989,1980,0,,1,1,0,1
mgc1316,mg1190,2000,2000,0,,1,1,1,1
mgc1319,mg0189,1985,1980,0,,1,1,1,1
mgc1329,mg0132,1969,1960,0,,1,1,1,1
mgc1345,mg1048,2008,2000,0,,1,1,1,1
mgc1357,mg0068,1945,1940,0,,1,1,1,1
mgc1372,mg1118,1948,1940,0,,1,1,1,1
mgc1382,mg1275,1980,1980,0,,1,1,1,1
mgc1390,mg0052,1941,1940,0,,1,1,1,0
mgc1394,mg1156,1981,1980,0,,1,1,1,1
mgc1397,mg1075,2015,2010,0,,1,1,1,1
mgc1410,mg0945,1966,1960,0,,1,1,1,1
mgc1425,mg0157,1974,1970,0,,1,1,1,0
mgc1439,mg0921,1947,1940,0,,1,1,1,1
mgc1448,mg1202,2006,2000,0,,1,1,1,0
