item,US,CA,GB,IE,AU,NZ,IN,LK,PK,BD,SG,MY,PH,HK,ZA,NG,GH,KE,TZ,JM
yes,294.84,219.14,257.85,233.74,289.30,239.22,226.51,162.83,208.25,174.47,280.23,275.91,257.21,164.67,217.77,227.62,162.17,169.92,139.73,205.86
no,216.92,143.17,172.15,162.19,181.15,151.91,134.70,111.35,123.37,114.75,162.00,166.68,161.00,119.75,147.21,183.91,114.71,106.69,89.42,146.25
oh,176.86,106.92,130.88,105.50,153.30,105.71,67.00,60.28,58.56,44.78,171.64,128.47,143.77,67.74,80.35,93.56,63.45,56.14,52.02,79.56
yeah,103.78,53.35,58.79,45.55,69.49,52.70,31.02,18.35,21.78,23.55,82.56,61.09,73.71,25.96,31.21,33.27,21.10,25.01,16.87,42.36
hi,41.63,41.54,60.78,73.69,83.67,83.76,72.17,27.35,19.74,33.91,116.65,74.20,107.75,40.32,61.90,26.15,24.84,43.01,25.91,28.20
hey,66.95,43.89,32.88,29.63,46.32,36.01,31.41,19.71,16.10,18.13,56.80,48.89,52.93,22.67,38.11,26.76,24.01,24.69,17.66,32.80
wow,52.11,32.09,24.05,17.24,34.56,27.34,17.50,10.75,14.15,11.90,47.80,34.58,38.50,23.51,29.38,25.07,15.66,18.78,14.19,23.98
hello,22.57,20.55,26.53,21.72,25.51,23.73,27.79,10.91,10.71,20.84,49.33,37.77,48.97,24.57,18.67,20.87,20.64,18.05,21.36,18.93
ah,18.71,11.73,19.08,27.41,20.19,14.74,10.13,12.34,35.66,10.69,60.45,48.07,22.64,19.63,10.36,16.88,8.62,7.62,10.67,53.20
ha,20.72,14.52,17.27,16.71,20.86,16.10,16.38,21.98,12.89,16.18,50.96,25.33,28.60,27.14,19.09,19.93,10.83,24.89,16.81,16.73
lah,0.05,0.02,0.03,0.04,0.03,0.04,0.05,0.00,0.08,0.05,6.72,9.34,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.00
yaar,0.01,0.02,0.03,0.01,0.03,0.00,2.33,0.21,2.88,0.28,0.00,0.07,0.02,0.00,0.00,0.00,0.00,0.02,0.03,0.00
haba,0.05,0.03,0.05,0.04,0.03,0.00,0.01,0.02,0.02,0.20,0.02,0.02,0.18,0.02,0.09,8.77,0.72,0.24,0.80,0.05
eh,8.27,7.99,11.73,10.83,8.41,10.05,3.14,4.44,2.28,2.84,13.29,13.06,14.71,3.73,2.58,6.99,5.06,4.02,5.23,4.95
cheers,6.01,7.32,8.20,7.80,14.03,15.49,6.74,3.65,4.13,2.94,10.49,8.88,7.26,4.67,5.25,7.25,3.17,3.21,4.01,3.69
um,12.10,6.72,5.24,3.58,8.47,7.56,2.70,1.14,2.98,2.23,6.70,9.05,4.32,3.04,5.07,2.09,2.09,2.97,1.93,4.47
uh,13.61,6.66,3.42,2.58,3.55,4.01,3.18,1.25,1.50,2.00,7.26,4.59,6.57,2.32,1.98,2.51,1.52,2.31,1.28,5.10
bye,3.66,2.20,3.09,3.37,2.62,3.75,2.65,1.80,1.48,1.67,4.86,5.26,2.61,2.27,1.41,3.49,2.94,2.09,1.59,9.81
